sample_id,crop_label,N,P,K,pH,soil_moisture,temperature,humidity,rainfall,solar_radiation,elevation,irrigation,previous_crop
S1011468,rice,0.3,46.45,237.29,6.64,12.62,24.15,47.63,633.72,19.46,530.93,irrigated,maize
S1065981,wheat,0.321,58.2,245.17,6.89,14.32,-0.58,50.61,466.25,23.04,1902.14,rainfed,vegetable
S1037237,wheat,0.3,55.7,307.24,6.61,10.18,-0.48,49.33,280.96,18.9,1948.84,irrigated,maize
S1072375,barley,0.432,47.67,242.26,7.69,14.49,18.67,87.53,217.67,21.41,1086.39,irrigated,vegetable
S1083142,rice,0.457,50.61,149.78,7.06,12.57,23.69,44.54,1062.56,15.88,544.3,rainfed,pulses
S1020282,millet,0.563,40.4,241.85,6.25,7.44,12.35,46.61,254.91,21.2,1599.74,rainfed,vegetable
S1012387,lentil,0.39,31.54,87.2,7.31,4.03,14.35,73.93,110.26,15.41,1128.34,irrigated,wheat
S1029869,millet,0.448,55.96,252.46,4.97,6.3,20.54,71.98,186.5,22.32,260.94,rainfed,pulses
S1078788,wheat,0.112,49.13,156.18,7.19,15.65,12.56,47.72,106.98,18.88,1326.29,rainfed,rice
S1069417,rice,0.347,36.94,244.6,6.95,24.11,17.7,55.55,276.58,16.41,2089.97,rainfed,rice
S1010899,wheat,0.412,38.38,182.0,5.93,9.5,16.16,45.58,239.02,22.18,781.01,irrigated,maize
S1022739,mustard,0.13,47.27,166.77,6.87,15.19,17.67,53.29,220.83,21.64,2173.0,rainfed,rice
S1001414,barley,0.392,47.6,219.4,5.51,21.39,13.35,58.22,275.86,15.82,1327.92,irrigated,vegetable
S1030952,lentil,0.318,60.93,258.09,6.75,7.55,12.11,61.91,161.91,23.53,1392.56,rainfed,wheat
S1056834,wheat,0.074,22.82,127.74,6.16,14.68,14.34,59.5,371.67,26.05,1527.93,rainfed,fallow
S1038935,rice,0.331,33.87,66.95,6.37,14.15,9.26,56.2,678.32,18.69,1867.86,rainfed,vegetable
S1032200,potato,0.326,33.73,108.45,7.13,12.33,12.19,59.15,983.56,21.08,2301.33,irrigated,pulses
S1068844,wheat,0.252,4.32,235.96,5.78,8.88,27.93,40.82,580.69,16.47,239.9,rainfed,wheat
S1045691,millet,0.252,28.47,152.98,6.28,19.97,18.16,50.98,418.79,14.5,1585.41,irrigated,pulses
S1072019,sugarcane,0.177,26.63,193.28,6.81,10.96,16.51,53.25,446.11,20.45,534.46,irrigated,maize
S1080647,wheat,0.431,37.06,387.12,6.96,1.71,8.74,70.9,91.58,18.42,1477.48,irrigated,maize
S1020427,wheat,0.423,23.37,213.25,6.93,9.12,35.53,42.55,293.8,22.59,105.05,rainfed,vegetable
S1011895,barley,0.419,37.92,186.73,6.24,15.83,14.86,74.61,682.36,21.24,739.53,irrigated,vegetable
S1004624,potato,0.404,22.67,314.8,5.78,9.4,12.77,64.91,152.38,20.62,2362.56,irrigated,pulses
S1029505,wheat,0.136,12.03,151.48,6.37,0.41,18.54,52.65,98.16,22.09,902.56,rainfed,maize
S1012560,mustard,0.321,26.46,105.42,6.29,3.02,14.28,53.88,164.72,18.17,1946.5,irrigated,wheat
S1038942,rice,0.485,55.3,231.2,5.77,13.64,27.27,50.88,97.35,6.55,302.37,rainfed,vegetable
S1069605,lentil,0.35,65.48,170.26,8.66,4.3,25.29,38.77,428.49,25.71,1431.03,irrigated,fallow
S1000573,wheat,0.433,56.79,223.85,6.63,4.15,9.45,43.94,253.17,16.99,1555.22,rainfed,vegetable
S1084865,millet,0.268,48.71,146.48,4.9,15.87,8.47,60.09,278.1,14.41,2486.83,irrigated,vegetable
S1051743,potato,0.053,25.64,194.25,7.08,6.05,17.6,69.73,221.02,17.18,630.05,irrigated,pulses
S1074336,sugarcane,0.288,34.38,68.68,6.03,9.79,20.82,83.79,127.2,25.51,601.95,irrigated,vegetable
S1086884,rice,0.035,18.5,175.68,5.62,9.82,16.34,76.01,272.03,15.41,977.9,irrigated,vegetable
S1036238,rice,0.319,36.5,287.65,5.73,17.78,9.88,55.48,112.9,16.14,1276.39,irrigated,wheat
S1050282,lentil,0.338,47.62,250.66,6.71,10.34,22.21,51.64,285.66,15.21,1899.72,rainfed,rice
S1007748,barley,0.283,44.29,92.01,7.88,11.6,9.28,68.76,269.93,13.17,756.6,irrigated,wheat
S1045119,sugarcane,0.548,53.03,224.31,5.46,4.76,15.31,47.97,155.31,14.19,1647.31,rainfed,vegetable
S1099911,mustard,0.403,41.14,217.43,7.68,3.93,19.19,40.88,739.55,22.11,267.72,rainfed,pulses
S1073381,rice,0.444,25.27,324.74,5.98,6.46,10.18,47.21,652.2,19.3,1400.08,irrigated,wheat
S1060893,lentil,0.592,35.94,193.38,5.27,4.27,8.0,67.64,64.84,21.0,1759.29,irrigated,wheat
S1076178,maize,0.382,44.53,263.38,6.72,12.89,11.94,53.64,657.77,21.37,1248.89,rainfed,maize
S1079843,wheat,0.259,17.71,187.55,6.35,17.5,-2.0,65.51,186.72,22.81,2368.64,rainfed,fallow
S1086323,mustard,0.161,33.61,140.22,8.06,17.16,15.08,43.31,323.46,21.18,2384.2,rainfed,fallow
S1098517,wheat,0.44,40.88,173.25,7.61,8.05,13.22,41.4,92.34,23.93,2446.33,rainfed,wheat
S1076929,rice,0.331,44.07,246.14,5.71,9.25,11.39,58.68,85.08,25.74,1470.47,irrigated,pulses
S1017961,millet,0.11,18.19,119.97,7.23,5.42,30.7,61.63,170.83,11.58,22.74,irrigated,rice
S1064845,millet,0.261,45.02,241.34,7.41,19.15,6.13,85.43,61.82,25.35,1883.78,irrigated,maize
S1028286,soybean,0.363,32.18,179.66,6.85,11.15,14.99,27.69,432.32,21.72,1663.91,rainfed,pulses
S1016730,wheat,0.364,16.48,111.27,6.41,9.71,22.92,31.13,399.51,17.42,1445.35,rainfed,pulses
S1067702,lentil,0.349,47.3,142.87,7.75,14.69,8.33,61.49,602.6,27.98,1105.16,rainfed,wheat
S1081581,mustard,0.291,34.92,31.95,7.3,11.43,18.47,61.32,256.23,20.03,1496.6,irrigated,pulses
S1002742,rice,0.779,39.85,184.9,6.37,20.57,28.33,76.33,272.63,13.1,489.58,rainfed,pulses
S1091839,potato,0.409,25.93,203.87,6.29,16.91,5.1,60.17,144.81,18.29,923.79,irrigated,rice
S1051276,maize,0.341,41.37,207.32,4.82,14.48,12.81,93.55,138.09,14.52,1747.46,rainfed,wheat
S1010817,rice,0.144,28.53,167.61,6.83,15.96,3.62,40.4,371.33,20.65,1750.77,irrigated,rice
S1013413,millet,0.123,43.64,278.52,6.97,14.85,27.29,58.38,35.24,14.6,352.03,rainfed,pulses
S1004645,rice,0.385,27.49,158.87,6.4,9.25,14.3,44.33,179.93,16.88,1854.94,rainfed,fallow
S1024830,sugarcane,0.426,44.21,211.67,6.32,20.91,20.75,55.43,167.82,14.41,60.59,irrigated,rice
S1051477,soybean,0.291,27.11,276.58,6.78,4.16,22.67,65.77,327.82,12.67,1570.21,irrigated,maize
S1060476,barley,0.304,31.66,166.19,7.01,12.0,8.95,48.89,528.98,18.76,2230.3,rainfed,pulses
S1009887,lentil,0.224,23.89,221.23,6.87,10.18,12.17,84.92,17.82,20.49,2009.71,irrigated,pulses
S1077006,barley,0.351,46.16,148.31,6.85,16.04,20.96,65.84,236.56,15.3,1711.43,rainfed,rice
S1080595,millet,0.507,31.15,125.31,7.77,9.58,5.23,75.36,158.1,25.92,2225.36,rainfed,rice
S1072761,mustard,0.172,25.26,123.16,5.64,9.29,18.36,71.08,141.99,17.54,841.58,rainfed,vegetable
S1097106,wheat,0.109,19.05,131.38,5.7,6.55,21.18,62.09,164.89,23.12,1086.35,irrigated,fallow
S1053569,rice,0.405,51.63,262.54,7.39,19.37,18.71,44.89,141.97,9.83,1742.79,irrigated,wheat
S1015626,mustard,0.192,49.64,86.07,6.07,5.59,15.63,75.79,98.99,20.39,1521.83,irrigated,rice
S1098422,rice,0.447,55.75,225.42,6.79,2.47,15.22,69.84,138.25,23.24,1233.41,rainfed,maize
S1038861,millet,0.174,10.14,122.58,5.7,15.43,27.1,65.35,123.13,26.27,651.21,rainfed,maize
S1024547,millet,0.255,35.94,262.89,6.14,12.79,17.4,51.11,783.01,19.81,1663.37,rainfed,wheat
S1078203,rice,0.268,29.39,202.01,7.0,12.9,14.87,71.08,182.21,19.46,2080.29,rainfed,fallow
S1044524,rice,0.375,33.0,194.94,6.52,13.74,24.69,57.29,281.42,8.6,270.41,rainfed,wheat
S1000928,mustard,0.239,34.81,182.23,6.54,5.74,16.38,66.99,706.25,16.94,1583.7,irrigated,fallow
S1030572,barley,0.367,68.39,276.02,6.6,5.12,22.4,75.6,203.27,20.06,1816.13,rainfed,maize
S1002174,barley,0.316,32.37,282.61,5.99,8.48,30.65,63.55,321.55,20.53,567.95,rainfed,vegetable
S1063407,rice,0.331,30.34,236.68,5.95,19.63,28.64,71.38,83.48,15.93,684.81,irrigated,vegetable
S1015466,lentil,0.317,44.07,215.65,7.01,3.42,10.21,71.86,183.03,20.51,2245.65,irrigated,vegetable
S1021287,barley,0.01,6.82,274.07,5.45,18.78,16.85,55.63,340.68,20.85,987.53,rainfed,fallow
S1068791,wheat,0.187,42.69,25.14,6.12,14.33,20.0,59.18,404.88,18.05,761.08,rainfed,maize
S1064130,wheat,0.428,28.57,197.38,6.09,25.14,18.7,46.21,61.24,18.08,1185.68,irrigated,vegetable
S1042630,potato,0.394,56.28,146.59,7.33,12.71,20.82,80.56,152.88,19.16,826.82,rainfed,pulses
S1048459,millet,0.326,28.62,235.73,7.14,17.14,30.95,42.61,59.34,14.27,174.12,rainfed,fallow
S1008285,wheat,0.052,22.82,122.29,7.04,18.4,10.9,57.8,124.38,21.82,2118.24,rainfed,maize
S1056544,mustard,0.461,41.92,84.13,7.32,7.68,15.24,60.39,69.07,21.26,1768.18,irrigated,fallow
S1036137,barley,0.218,50.05,81.57,6.06,8.35,13.7,73.36,78.17,18.15,2138.46,rainfed,maize
S1073917,maize,0.277,40.45,95.96,6.23,8.19,8.55,54.33,431.34,16.21,2281.68,rainfed,vegetable
S1056097,rice,0.137,29.96,105.89,6.77,16.19,14.06,50.87,49.91,11.63,385.03,irrigated,vegetable
S1025636,soybean,0.373,42.2,200.32,6.08,16.06,14.09,81.78,457.72,15.41,2032.25,rainfed,pulses
S1059975,barley,0.125,22.59,152.97,6.03,6.26,19.92,65.38,103.37,19.56,1128.05,rainfed,vegetable
S1063099,lentil,0.374,41.18,142.38,6.8,9.15,10.93,64.15,138.62,16.06,2323.62,irrigated,wheat
S1056512,barley,0.262,36.11,188.11,6.31,10.65,8.99,66.1,329.58,17.02,2170.5,rainfed,rice
S1068413,soybean,0.466,60.88,204.51,7.63,8.08,26.34,45.28,99.15,19.48,13.53,rainfed,maize
S1024263,barley,0.327,26.38,172.02,6.93,12.6,27.47,69.08,242.67,12.69,1525.46,irrigated,pulses
S1060419,maize,0.229,37.01,319.7,5.38,14.13,18.23,67.92,54.29,13.64,576.56,irrigated,wheat
S1053042,wheat,0.606,42.72,157.96,6.79,12.93,10.76,49.54,261.61,19.52,479.97,rainfed,maize
S1092130,soybean,0.527,45.82,229.93,5.97,5.93,25.17,67.74,361.34,21.62,70.47,irrigated,rice
S1062660,wheat,0.241,20.99,151.85,5.54,9.62,13.96,88.78,219.78,21.43,2234.76,rainfed,rice
S1024013,maize,0.252,26.87,243.64,6.17,21.34,21.9,65.68,305.86,14.96,1455.27,irrigated,pulses
S1012042,soybean,0.237,28.18,263.43,6.86,7.46,5.37,60.43,92.1,23.23,2111.01,irrigated,vegetable
S1049783,rice,0.259,43.58,180.03,6.79,3.2,34.18,68.58,165.82,12.59,200.77,rainfed,wheat
S1076814,potato,0.098,40.98,76.83,6.62,2.88,10.63,73.8,127.49,23.66,2215.9,rainfed,vegetable
S1015394,barley,0.12,13.53,197.21,6.88,10.09,21.75,56.3,348.87,21.75,2300.68,rainfed,rice
S1073796,lentil,0.115,11.44,103.69,5.51,13.57,16.17,68.54,119.81,15.01,1315.1,irrigated,fallow
S1050178,lentil,0.278,47.9,168.14,7.44,16.6,21.2,38.87,69.61,17.29,2217.18,irrigated,pulses
S1094484,rice,0.395,33.54,165.66,5.58,27.68,17.23,53.99,340.1,12.9,1485.93,irrigated,pulses
S1000114,barley,0.464,35.85,201.96,4.82,20.21,15.43,66.58,169.96,19.14,1583.51,irrigated,pulses
S1060899,rice,0.515,37.84,216.53,6.99,3.94,15.02,48.08,513.68,24.04,952.4,rainfed,vegetable
S1059780,sugarcane,0.299,42.71,164.57,5.92,9.82,6.97,47.96,46.11,13.65,2317.93,irrigated,fallow
S1062199,barley,0.42,12.4,152.92,5.67,14.07,17.54,63.44,294.19,16.52,620.19,rainfed,maize
S1076633,rice,0.172,33.99,242.49,7.5,5.94,6.81,63.1,674.78,20.49,1585.02,irrigated,wheat
S1037378,wheat,0.346,38.63,151.47,6.31,9.14,16.44,41.45,102.65,6.69,704.41,irrigated,maize
S1006729,maize,0.468,50.45,219.0,7.28,12.75,14.59,24.92,532.15,15.73,2018.15,rainfed,vegetable
S1005904,lentil,0.498,79.58,182.68,7.14,1.7,28.64,74.99,328.23,17.29,247.87,irrigated,wheat
S1065966,soybean,0.377,29.69,152.45,6.36,12.22,25.56,70.03,251.94,19.26,1638.49,rainfed,maize
S1014529,lentil,0.164,21.34,105.63,6.33,8.83,21.2,50.26,350.08,20.22,1130.35,irrigated,fallow
S1065585,sugarcane,0.445,40.68,221.51,8.03,7.14,26.56,68.26,352.23,17.53,981.84,irrigated,maize
S1007335,potato,0.2,41.47,136.71,6.37,9.65,15.49,57.63,153.66,18.25,585.14,irrigated,maize
S1088467,soybean,0.261,53.32,153.05,6.37,5.82,21.32,48.89,708.23,16.06,173.86,rainfed,fallow
S1038223,barley,0.427,43.0,193.26,6.95,12.95,23.67,72.56,46.61,22.89,1766.71,rainfed,pulses
S1058174,wheat,0.687,36.64,246.82,6.61,8.52,10.91,76.74,306.85,19.04,665.83,rainfed,rice
S1089550,maize,0.218,36.18,165.74,7.14,13.76,9.44,65.28,28.67,19.56,2043.8,rainfed,rice
S1004162,rice,0.247,37.8,169.38,7.72,16.68,10.7,35.14,192.69,24.44,1372.18,rainfed,rice
S1038539,sugarcane,0.222,9.99,149.16,5.94,7.96,3.25,30.31,64.51,26.35,1686.69,irrigated,pulses
S1069509,barley,0.254,41.81,60.7,6.86,9.04,13.99,37.25,478.67,17.36,1676.37,rainfed,wheat
S1033888,sugarcane,0.471,43.46,118.82,5.56,10.39,17.33,72.53,257.46,18.29,824.51,rainfed,pulses
S1038621,rice,0.147,22.81,105.39,7.45,11.11,23.27,93.86,282.29,20.97,36.62,rainfed,wheat
S1096587,wheat,0.238,47.78,51.31,7.84,13.56,13.75,54.01,238.49,24.59,33.23,irrigated,maize
S1010618,soybean,0.167,30.67,179.68,5.11,8.85,22.45,79.22,116.53,15.59,336.31,rainfed,fallow
S1038357,soybean,0.239,48.94,260.36,6.11,12.75,23.44,76.67,27.5,21.94,734.28,rainfed,wheat
S1042505,lentil,0.354,47.25,185.69,5.21,10.11,17.6,76.64,68.23,20.35,1450.77,rainfed,rice
S1032807,potato,0.357,53.2,170.35,7.96,18.8,14.92,58.36,793.49,21.49,1989.73,irrigated,fallow
S1056780,sugarcane,0.306,17.71,159.51,5.8,15.19,10.83,34.16,129.56,14.25,1472.61,rainfed,rice
S1040368,sugarcane,0.312,34.78,228.9,6.3,7.16,4.34,59.19,82.44,21.68,1383.72,irrigated,maize
S1032386,sugarcane,0.329,52.76,173.56,6.75,10.91,8.03,87.79,202.86,23.42,2443.33,irrigated,fallow
S1017773,millet,0.414,46.37,244.95,6.03,11.13,19.79,68.36,406.77,14.91,462.77,rainfed,rice
S1061121,mustard,0.472,21.57,112.88,6.37,9.44,27.13,31.9,168.41,17.66,747.18,rainfed,rice
S1017972,wheat,0.362,47.04,200.93,6.51,12.22,15.41,65.3,411.81,23.14,161.09,rainfed,wheat
S1064304,maize,0.464,46.42,205.78,6.46,0.1,6.87,49.96,168.3,13.88,925.31,rainfed,vegetable
S1069595,barley,0.168,27.39,126.42,5.63,9.69,12.51,82.97,49.18,20.39,104.39,rainfed,pulses
S1085582,lentil,0.265,35.77,153.17,6.02,11.29,26.0,82.73,328.93,19.41,853.93,rainfed,maize
S1014984,barley,0.364,36.05,170.45,5.83,18.4,12.61,65.31,605.2,8.9,1902.0,irrigated,rice
S1034606,potato,0.251,26.74,222.02,7.38,10.57,22.87,63.86,171.89,23.93,1250.91,rainfed,rice
S1009494,wheat,0.15,48.39,224.92,6.3,4.31,13.84,54.22,170.36,20.85,1617.68,rainfed,vegetable
S1032071,wheat,0.314,48.58,93.73,5.38,17.18,9.14,63.02,102.61,18.12,589.87,rainfed,wheat
S1005169,millet,0.109,16.47,227.65,6.59,7.4,14.41,65.12,313.84,19.57,1922.65,rainfed,vegetable
S1070609,rice,0.351,40.73,156.18,5.94,17.25,14.44,68.25,363.62,15.13,2495.77,rainfed,wheat
S1011317,wheat,0.274,19.66,166.13,5.78,7.59,16.4,69.2,276.81,18.64,1137.4,rainfed,pulses
S1042990,sugarcane,0.359,35.28,265.29,5.6,12.69,5.72,60.5,202.51,25.74,2191.68,rainfed,wheat
S1079976,maize,0.312,24.43,181.37,5.55,9.44,12.26,68.27,108.93,11.93,1662.24,rainfed,maize
S1060106,sugarcane,0.512,45.01,228.85,7.17,10.43,13.38,39.71,166.99,27.82,1111.44,irrigated,pulses
S1067709,barley,0.291,32.26,217.84,7.01,16.2,11.71,57.3,157.32,12.37,1563.82,rainfed,wheat
S1043942,maize,0.378,35.11,147.15,7.04,16.71,23.77,66.35,240.32,10.96,770.36,irrigated,vegetable
S1044017,mustard,0.178,17.25,254.5,5.6,19.12,15.48,67.75,382.77,15.03,1790.22,irrigated,wheat
S1062412,wheat,0.205,27.96,95.54,6.01,18.88,20.97,61.82,425.63,10.91,519.47,irrigated,rice
S1027784,soybean,0.251,11.38,219.35,4.89,11.57,18.05,46.13,164.99,28.69,1501.16,irrigated,vegetable
S1021659,maize,0.26,23.06,234.76,7.81,5.92,18.03,34.23,395.73,18.12,1878.91,rainfed,rice
S1031375,lentil,0.235,26.78,273.27,5.55,17.39,8.12,56.37,326.27,17.36,1267.42,rainfed,wheat
S1082860,barley,0.318,45.19,168.67,5.96,0.1,22.12,53.37,275.53,15.02,339.95,rainfed,pulses
S1013343,soybean,0.395,35.62,176.83,6.26,9.49,17.93,75.79,51.04,22.2,1698.52,rainfed,rice
S1050614,rice,0.365,38.88,211.3,6.14,17.46,15.36,65.7,529.03,14.09,753.1,rainfed,wheat
S1034823,rice,0.122,27.73,217.04,5.57,19.45,28.41,59.02,279.14,17.26,728.28,rainfed,fallow
S1015837,wheat,0.243,19.52,256.35,7.62,16.45,1.24,54.2,236.67,15.83,1238.68,rainfed,wheat
S1085348,wheat,0.214,45.01,273.13,6.6,15.94,23.62,62.66,169.66,16.94,810.85,rainfed,wheat
S1056729,barley,0.517,21.88,127.72,5.93,7.95,30.76,42.48,111.56,16.59,600.0,irrigated,vegetable
S1059922,maize,0.419,52.47,136.05,5.98,4.87,23.36,50.26,445.45,12.63,192.85,rainfed,pulses
S1033803,wheat,0.242,23.35,257.06,7.62,8.25,16.77,79.73,232.46,10.24,1541.88,rainfed,vegetable
S1019837,sugarcane,0.046,29.05,190.1,6.59,15.89,19.75,47.61,235.28,20.83,969.55,irrigated,pulses
S1021517,rice,0.387,27.96,127.6,6.22,7.87,24.51,53.75,206.83,15.11,351.54,rainfed,vegetable
S1091195,lentil,0.358,45.73,206.32,6.72,11.86,21.6,89.72,352.46,22.16,629.8,rainfed,rice
S1028010,potato,0.423,44.17,277.11,7.02,6.19,17.6,52.0,175.8,20.31,913.98,irrigated,maize
S1030220,barley,0.387,38.1,219.41,7.33,12.49,12.38,69.88,161.42,14.74,1855.56,irrigated,wheat
S1065201,millet,0.436,44.03,81.27,7.19,12.4,15.59,61.43,24.96,15.76,1877.75,irrigated,maize
S1022261,barley,0.442,39.98,169.05,5.96,12.39,12.62,58.35,237.87,16.13,1468.47,irrigated,pulses
S1037115,barley,0.153,26.92,53.77,5.92,5.62,22.14,76.21,219.33,15.52,332.53,irrigated,pulses
S1044034,rice,0.101,48.66,235.91,7.93,13.44,16.11,57.22,569.49,13.2,216.06,rainfed,rice
S1055593,soybean,0.641,52.43,190.54,6.7,15.18,15.8,45.42,1299.96,14.71,680.46,irrigated,vegetable
S1034338,maize,0.427,51.41,362.27,5.8,13.84,20.1,58.57,217.53,19.76,1379.41,rainfed,rice
S1008950,wheat,0.307,31.15,164.15,6.76,25.13,16.54,49.01,203.8,22.14,686.36,irrigated,wheat
S1052506,maize,0.391,15.26,133.37,5.7,13.89,22.04,46.83,86.29,26.98,112.73,irrigated,maize
S1084699,lentil,0.333,40.3,102.98,7.24,9.17,23.71,71.31,363.57,12.16,157.87,irrigated,rice
S1028852,maize,0.273,32.66,137.7,6.76,13.94,12.31,74.6,772.54,16.44,859.16,rainfed,rice
S1048594,potato,0.442,60.12,262.22,6.06,10.99,14.14,42.41,163.41,17.26,629.61,irrigated,pulses
S1073976,rice,0.303,46.94,197.18,6.6,21.36,32.56,64.34,495.67,22.72,463.23,irrigated,pulses
S1045566,potato,0.398,12.88,206.79,6.99,6.47,18.3,57.85,635.86,21.55,1055.29,rainfed,wheat
S1087037,maize,0.152,35.24,202.55,5.59,7.77,23.32,38.88,447.3,15.69,1426.74,irrigated,maize
S1011147,wheat,0.27,22.97,171.12,6.25,14.51,24.69,56.89,228.32,9.95,866.9,irrigated,rice
S1086809,maize,0.204,24.86,82.97,7.61,8.9,12.68,55.24,707.0,14.35,1525.55,rainfed,wheat
S1072443,rice,0.12,22.68,140.42,5.24,10.69,23.09,65.85,419.7,14.31,710.35,rainfed,maize
S1027724,rice,0.361,55.27,152.98,6.53,6.27,10.53,37.67,322.57,13.16,2023.29,irrigated,vegetable
S1018092,lentil,0.21,34.84,154.23,6.2,5.64,27.81,55.83,346.98,17.21,319.51,irrigated,fallow
S1085626,maize,0.233,37.28,160.25,7.01,16.79,14.9,37.18,253.77,22.59,473.85,rainfed,pulses
S1090866,sugarcane,0.471,54.95,102.06,7.18,17.84,23.78,38.25,580.4,20.95,194.69,rainfed,pulses
S1019356,maize,0.357,12.28,160.89,7.04,11.94,19.79,59.58,407.31,24.33,1842.45,irrigated,pulses
S1032832,barley,0.374,35.18,123.24,7.24,14.16,18.62,45.33,493.59,21.41,1262.36,irrigated,fallow
S1089332,millet,0.306,46.67,152.7,7.1,6.64,12.25,58.18,61.83,15.31,1854.24,rainfed,rice
S1031333,maize,0.159,45.52,259.77,5.94,14.16,22.64,71.1,332.82,25.97,374.01,rainfed,wheat
S1068940,rice,0.539,22.11,214.98,5.85,21.71,14.18,65.48,103.35,14.96,2125.19,rainfed,pulses
S1032612,lentil,0.327,22.24,126.13,6.26,18.63,23.57,36.74,664.4,22.32,431.26,rainfed,rice
S1041076,millet,0.426,49.9,180.57,5.64,5.14,23.98,73.12,107.15,16.11,414.98,rainfed,pulses
S1016783,potato,0.567,55.52,191.38,6.61,17.27,13.8,80.42,89.61,18.76,1246.1,irrigated,rice
S1041130,maize,0.242,36.64,161.71,5.67,8.24,9.3,34.77,154.94,19.49,2470.57,irrigated,vegetable
S1078318,maize,0.01,38.3,77.9,5.32,12.76,17.54,47.64,442.99,21.32,1707.51,rainfed,fallow
S1072169,millet,0.479,55.78,258.4,6.46,13.56,25.91,93.55,200.68,12.66,1666.66,irrigated,fallow
S1004151,lentil,0.262,36.72,242.79,6.63,7.96,26.4,50.05,105.16,20.76,0.08,rainfed,pulses
S1002362,maize,0.453,53.94,152.96,7.08,7.97,25.05,81.86,110.47,18.05,737.6,irrigated,vegetable
S1051010,millet,0.247,62.62,202.55,6.62,20.08,2.87,79.55,53.07,20.73,2312.05,rainfed,wheat
S1018053,soybean,0.202,24.66,270.88,6.9,9.95,10.56,47.53,414.59,17.73,1771.76,irrigated,rice
S1072164,wheat,0.281,16.64,56.17,7.02,17.81,16.64,76.04,89.01,15.34,1833.3,irrigated,wheat
S1049024,rice,0.494,42.12,112.93,6.98,7.18,26.07,77.67,162.34,20.29,225.45,rainfed,maize
S1080323,wheat,0.572,24.03,269.3,7.48,9.45,29.53,58.41,294.6,21.89,391.33,irrigated,rice
S1024135,rice,0.245,56.91,201.96,6.33,9.71,27.04,41.85,638.61,12.85,683.93,irrigated,wheat
S1098555,sugarcane,0.237,34.1,175.98,6.29,15.4,20.76,68.43,104.16,19.53,1259.42,irrigated,wheat
S1031744,maize,0.439,24.73,303.3,6.82,9.07,16.7,57.86,177.87,16.03,428.39,rainfed,vegetable
S1024933,barley,0.169,37.78,184.26,7.61,0.1,24.58,43.56,199.34,19.52,958.57,rainfed,pulses
S1073989,maize,0.369,37.97,112.73,7.57,5.26,12.51,68.17,597.09,19.65,1250.3,rainfed,maize
S1043458,maize,0.196,15.4,148.47,7.94,10.02,7.04,47.82,78.86,19.65,2364.02,rainfed,pulses
S1035941,barley,0.364,15.45,240.85,7.16,0.1,32.16,39.18,490.4,23.43,296.36,irrigated,rice
S1011373,potato,0.188,37.78,257.17,6.96,5.02,22.06,89.27,67.67,17.35,1082.69,irrigated,vegetable
S1002797,potato,0.388,39.44,196.58,6.88,2.54,15.81,53.67,351.3,12.47,1555.86,irrigated,fallow
S1024113,potato,0.356,32.92,336.5,5.87,15.27,10.53,66.47,100.51,16.95,2414.32,irrigated,maize
S1069043,wheat,0.064,28.24,178.03,5.93,16.32,20.84,76.7,105.72,17.65,460.84,rainfed,wheat
S1052978,sugarcane,0.277,47.81,128.17,8.31,7.96,7.56,68.81,343.85,15.05,1822.36,irrigated,maize
S1010408,barley,0.226,26.77,108.53,7.08,8.92,11.41,51.97,186.6,25.98,1525.45,rainfed,wheat
S1089555,lentil,0.236,46.05,161.28,5.87,8.51,22.1,56.49,169.59,18.01,884.96,irrigated,fallow
S1090463,lentil,0.265,40.91,187.36,6.56,4.37,15.15,56.59,347.15,14.09,22.11,rainfed,fallow
S1007316,soybean,0.084,19.25,138.1,6.09,18.38,22.62,55.25,52.44,23.49,98.23,rainfed,maize
S1004545,wheat,0.259,44.65,131.43,6.06,16.86,12.35,73.51,142.95,20.82,2029.67,rainfed,fallow
S1054915,rice,0.243,39.05,239.53,6.23,7.53,17.0,69.56,58.06,13.36,423.06,rainfed,pulses
S1011504,soybean,0.137,40.08,61.42,7.24,10.94,24.07,58.97,446.29,18.61,1358.84,irrigated,wheat
S1030849,sugarcane,0.438,12.81,232.73,7.68,7.39,24.12,38.49,624.56,23.56,1009.89,irrigated,pulses
S1059438,mustard,0.29,49.69,236.91,7.17,15.28,11.85,82.06,196.52,11.55,743.26,irrigated,pulses
S1025521,sugarcane,0.255,28.15,300.66,7.93,11.72,14.65,57.94,182.57,25.85,604.16,rainfed,wheat
S1019981,wheat,0.453,48.76,224.18,6.99,4.26,15.69,54.29,362.94,17.65,1168.85,rainfed,rice
S1064721,rice,0.46,51.49,247.96,5.47,5.62,21.21,73.07,621.85,20.68,634.53,rainfed,maize
S1078227,wheat,0.036,32.34,44.64,5.84,12.98,18.49,82.81,283.34,15.74,1877.15,irrigated,pulses
S1097907,lentil,0.342,40.37,102.44,7.15,13.58,32.52,55.78,15.65,13.02,155.32,rainfed,pulses
S1047699,maize,0.427,26.55,187.54,6.75,7.72,35.23,87.69,441.38,16.17,860.4,irrigated,vegetable
S1077635,soybean,0.37,40.18,323.15,6.22,8.48,11.07,71.11,228.2,15.66,1768.05,irrigated,vegetable
S1024035,soybean,0.462,33.57,274.96,7.8,4.06,27.17,45.44,197.0,18.37,1637.26,rainfed,pulses
S1096251,mustard,0.334,17.55,351.5,7.67,8.86,20.59,42.26,185.75,21.39,1208.47,irrigated,pulses
